id, state, cur_score, action, reward, next_state, next_score
5,"[[4, 16, 16, 32], [256, 2, 0, 0], [4, 2, 0, 0], [2, 0, 0, 0]]",69484,right,32,"[[0, 4, 32, 32], [0, 0, 256, 2], [4, 0, 4, 2], [0, 0, 0, 2]]",69516
5,"[[0, 4, 32, 32], [0, 0, 256, 2], [4, 0, 4, 2], [0, 0, 0, 2]]",69516,left,72,"[[4, 64, 0, 4], [256, 2, 0, 0], [8, 2, 0, 0], [2, 0, 0, 0]]",69588
5,"[[4, 64, 0, 4], [256, 2, 0, 0], [8, 2, 0, 0], [2, 0, 0, 0]]",69588,down,4,"[[4, 0, 0, 0], [256, 0, 2, 0], [8, 64, 0, 0], [2, 4, 0, 4]]",69592
5,"[[4, 0, 0, 0], [256, 0, 2, 0], [8, 64, 0, 0], [2, 4, 0, 4]]",69592,left,8,"[[4, 0, 0, 0], [256, 2, 0, 4], [8, 64, 0, 0], [2, 8, 0, 0]]",69600
5,"[[4, 0, 0, 0], [256, 2, 0, 4], [8, 64, 0, 0], [2, 8, 0, 0]]",69600,up,0,"[[4, 2, 0, 4], [256, 64, 0, 0], [8, 8, 0, 2], [2, 0, 0, 0]]",69600
5,"[[4, 2, 0, 4], [256, 64, 0, 0], [8, 8, 0, 2], [2, 0, 0, 0]]",69600,right,16,"[[0, 4, 2, 4], [4, 0, 256, 64], [0, 0, 16, 2], [0, 0, 0, 2]]",69616
5,"[[0, 4, 2, 4], [4, 0, 256, 64], [0, 0, 16, 2], [0, 0, 0, 2]]",69616,down,4,"[[0, 0, 0, 0], [4, 0, 2, 4], [0, 0, 256, 64], [4, 4, 16, 4]]",69620
5,"[[0, 0, 0, 0], [4, 0, 2, 4], [0, 0, 256, 64], [4, 4, 16, 4]]",69620,down,8,"[[0, 0, 0, 0], [0, 0, 2, 4], [2, 0, 256, 64], [8, 4, 16, 4]]",69628
5,"[[0, 0, 0, 0], [0, 0, 2, 4], [2, 0, 256, 64], [8, 4, 16, 4]]",69628,right,0,"[[0, 0, 0, 0], [0, 2, 2, 4], [0, 2, 256, 64], [8, 4, 16, 4]]",69628
5,"[[0, 0, 0, 0], [0, 2, 2, 4], [0, 2, 256, 64], [8, 4, 16, 4]]",69628,down,4,"[[2, 0, 0, 0], [0, 0, 2, 4], [0, 4, 256, 64], [8, 4, 16, 4]]",69632
5,"[[2, 0, 0, 0], [0, 0, 2, 4], [0, 4, 256, 64], [8, 4, 16, 4]]",69632,down,8,"[[0, 2, 0, 0], [0, 0, 2, 4], [2, 0, 256, 64], [8, 8, 16, 4]]",69640
